PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH,CLASS
111.00,0.00,1271.00,MQ,Envoy Air,Envoy Air,10561,BFL,11298,DFW,9,F
111.00,0.00,1442.00,G4,Allegiant Air,Allegiant Air,14893,SMF,11259,DAL,9,L
111.00,9.00,1764.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14683,SAT,10721,BOS,10,F
111.00,206.00,1597.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12266,IAH,10721,BOS,3,F
111.00,278.00,817.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13158,MAF,14869,SLC,1,F
111.00,384.00,954.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10423,AUS,12451,JAX,8,F
111.00,422.00,1844.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12191,HOU,14057,PDX,9,F
111.00,2425.00,1504.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14771,SFO,10423,AUS,3,F
111.00,12811.00,956.00,UA,United Air Lines Inc.,United Air Lines Inc.,14027,PBI,12266,IAH,3,L
112.00,0.00,280.00,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,15919,XNA,11298,DFW,4,F
112.00,0.00,436.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,11259,DAL,13495,MSY,1,L
112.00,0.00,588.00,AA,American Airlines Inc.,American Airlines Inc.,14107,PHX,12896,LBB,2,F
112.00,0.00,634.00,G4,Allegiant Air,Allegiant Air,12191,HOU,14006,PAH,9,L
112.00,0.00,673.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11540,ELP,15370,TUL,6,F
112.00,0.00,785.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,11973,GPT,13158,MAF,8,L
112.00,0.00,785.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,13158,MAF,11973,GPT,8,L
112.00,0.00,843.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,14683,SAT,14107,PHX,1,L
