PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH,CLASS
104.00,0.00,351.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,12951,LFT,11298,DFW,4,F
104.00,0.00,468.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,13244,MEM,12266,IAH,10,F
104.00,0.00,677.00,AN,"ADVANCED AIR, LLC","ADVANCED AIR, LLC",10747,BRO,11540,ELP,2,L
104.00,0.00,809.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12266,IAH,11109,COS,1,F
104.00,0.00,1040.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10423,AUS,10590,IFP,9,L
104.00,0.00,1040.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10590,IFP,10423,AUS,9,L
104.00,0.00,1172.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,11298,DFW,12264,IAD,6,F
104.00,0.00,1182.00,G4,Allegiant Air,Allegiant Air,11259,DAL,14679,SAN,9,L
104.00,0.00,1295.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14100,PHL,11259,DAL,1,F
104.00,0.00,1417.00,AA,American Airlines Inc.,American Airlines Inc.,12478,JFK,12266,IAH,9,F
104.00,0.00,1507.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10615,BIF,11042,CLE,8,L
104.00,0.00,2051.00,G4,Allegiant Air,Allegiant Air,10615,BIF,13296,MHT,2,L
104.00,0.00,2146.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14843,SJU,10423,AUS,4,F
104.00,31.00,1521.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11259,DAL,14307,PVD,4,F
104.00,126.00,1034.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12266,IAH,13487,MSP,9,F
104.00,195.00,1237.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13232,MDW,11540,ELP,3,F
104.00,476.00,1764.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10721,BOS,14683,SAT,3,F
105.00,0.00,175.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,13851,OKC,11298,DFW,2,F
105.00,0.00,509.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11540,ELP,13061,LRD,1,L
105.00,0.00,678.00,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,12012,GUC,11298,DFW,1,F
105.00,0.00,777.00,G4,Allegiant Air,Allegiant Air,11259,DAL,12945,LEX,10,L
105.00,0.00,777.00,G4,Allegiant Air,Allegiant Air,12945,LEX,11259,DAL,10,L
105.00,0.00,796.00,AN,"ADVANCED AIR, LLC","ADVANCED AIR, LLC",15051,SVC,10747,BRO,3,L
105.00,0.00,954.00,MQ,Envoy Air,Envoy Air,12124,HHH,11298,DFW,8,F
105.00,0.00,994.00,G4,Allegiant Air,Allegiant Air,14761,SFB,10423,AUS,5,F
105.00,0.00,1016.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10590,IFP,11298,DFW,5,L
105.00,0.00,1030.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10155,ACT,10590,IFP,4,L
105.00,0.00,1065.00,G4,Allegiant Air,Allegiant Air,10615,BIF,11003,CID,10,L
105.00,0.00,1145.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14683,SAT,11697,FLL,6,F
105.00,0.00,1167.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11540,ELP,10693,BNA,5,F
105.00,195.00,1420.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11259,DAL,12391,ISP,4,F
105.00,1150.00,2154.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11259,DAL,14843,SJU,3,F
106.00,0.00,817.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13158,MAF,14869,SLC,5,F
106.00,0.00,878.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14679,SAN,13158,MAF,6,F
